Level,Workout_Type,Duration_Min,Calories_Burned,Food_Item,Calories,Protein_g,Carbs_g,Fats_g,Goal,Meal,Workout_Duration_Min,Workout_Calories,Food_Calories,Net_Calories
,,,,Banana,,16.5,23.4,4.0,,,,,50.0,
,,,,Fish,,1.6,44.5,28.3,,,,,513.0,
,,,,Oats,,44.1,47.6,1.2,,,,,279.0,
,,,,Fish,,37.5,61.9,34.8,,,,,221.0,
,,,,Milk,,34.8,11.8,5.5,,,,,136.0,
,,,,Milk,,44.5,26.5,5.1,,,,,602.0,
,,,,Chicken,,40.5,93.5,7.0,,,,,172.0,
,,,,Milk,,12.4,91.3,38.4,,,,,347.0,
,,,,Banana,,21.1,79.2,27.7,,,,,624.0,
,,,,Egg,,7.6,6.8,32.1,,,,,533.0,
,,,,Milk,,7.8,36.1,15.9,,,,,214.0,
,,,,Fish,,40.6,64.7,13.5,,,,,432.0,
,,,,Paneer,,51.5,31.1,9.4,,,,,258.0,
,,,,Rice,,57.8,91.4,19.2,,,,,481.0,
,,,,Egg,,37.7,65.2,22.1,,,,,438.0,
,,,,Egg,,11.0,11.8,25.3,,,,,609.0,
,,,,Fish,,6.3,91.4,10.3,,,,,273.0,
,,,,Rice,,48.8,96.0,37.9,,,,,52.0,
,,,,Banana,,34.7,12.4,6.8,,,,,421.0,
,,,,Egg,,37.1,55.6,38.6,,,,,495.0,
,,,,Chicken,,46.9,33.8,0.6,,,,,660.0,
,,,,Fish,,42.2,42.3,19.2,,,,,165.0,
,,,,Egg,,50.1,22.1,13.3,,,,,319.0,
,,,,Oats,,3.4,59.9,18.0,,,,,496.0,
,,,,Rice,,44.9,96.0,22.8,,,,,417.0,
,,,,Milk,,51.1,52.8,17.4,,,,,302.0,
,,,,Egg,,17.2,12.9,16.6,,,,,366.0,
,,,,Fish,,38.4,63.9,29.3,,,,,464.0,
,,,,Milk,,18.8,37.3,27.4,,,,,144.0,
,,,,Chicken,,57.5,86.3,33.3,,,,,73.0,
,,,,Milk,,2.0,46.3,10.0,,,,,677.0,
,,,,Oats,,34.8,23.3,24.4,,,,,99.0,
,,,,Banana,,10.0,23.2,23.4,,,,,551.0,
,,,,Egg,,42.7,78.0,14.8,,,,,547.0,
,,,,Apple,,10.6,30.2,19.4,,,,,384.0,
,,,,Apple,,14.1,77.9,12.6,,,,,128.0,
,,,,Milk,,29.7,24.6,5.7,,,,,631.0,
,,,,Vegetables,,54.9,35.6,8.6,,,,,76.0,
,,,,Rice,,12.7,49.2,4.2,,,,,320.0,
,,,,Apple,,8.7,94.6,27.3,,,,,611.0,
,,,,Vegetables,,45.5,93.5,26.4,,,,,296.0,
,,,,Apple,,30.0,24.7,38.0,,,,,640.0,
,,,,Vegetables,,54.7,39.0,29.2,,,,,436.0,
,,,,Rice,,8.8,19.2,2.1,,,,,608.0,
,,,,Paneer,,38.8,53.4,35.4,,,,,410.0,
,,,,Apple,,14.0,48.8,34.5,,,,,537.0,
,,,,Oats,,9.4,90.6,17.7,,,,,401.0,
,,,,Egg,,41.0,93.4,23.4,,,,,305.0,
,,,,Vegetables,,35.6,41.4,39.0,,,,,271.0,
,,,,Egg,,45.3,51.7,21.3,,,,,50.0,
,,,,Fish,,18.6,90.1,36.2,,,,,595.0,
,,,,Fish,,26.9,81.6,3.3,,,,,495.0,
,,,,Rice,,24.3,5.3,7.6,,,,,128.0,
,,,,Vegetables,,59.0,35.4,17.6,,,,,285.0,
,,,,Chicken,,17.5,45.1,23.4,,,,,383.0,
,,,,Fish,,17.7,26.8,32.6,,,,,398.0,
,,,,Rice,,21.3,24.0,39.5,,,,,147.0,
,,,,Fish,,33.9,8.6,15.6,,,,,131.0,
,,,,Fish,,15.1,66.1,1.9,,,,,551.0,
,,,,Chicken,,54.9,29.9,32.0,,,,,526.0,
,,,,Apple,,15.9,10.0,24.2,,,,,599.0,
,,,,Milk,,53.7,26.9,7.9,,,,,63.0,
,,,,Paneer,,6.2,81.2,19.8,,,,,441.0,
,,,,Fish,,39.4,85.9,29.7,,,,,396.0,
,,,,Fish,,54.4,50.9,30.8,,,,,359.0,
,,,,Oats,,10.1,44.5,20.0,,,,,435.0,
,,,,Paneer,,58.1,97.9,12.2,,,,,258.0,
,,,,Chicken,,27.2,24.1,38.9,,,,,406.0,
,,,,Egg,,56.7,25.5,26.5,,,,,650.0,
,,,,Vegetables,,40.6,32.7,16.3,,,,,617.0,
,,,,Fish,,18.1,21.4,11.2,,,,,143.0,
,,,,Milk,,11.3,41.0,29.2,,,,,142.0,
,,,,Vegetables,,18.2,91.5,9.7,,,,,389.0,
,,,,Paneer,,5.6,63.5,6.9,,,,,646.0,
,,,,Vegetables,,8.6,44.1,21.2,,,,,494.0,
,,,,Apple,,6.3,93.8,11.6,,,,,71.0,
,,,,Fish,,25.4,9.6,25.2,,,,,340.0,
,,,,Vegetables,,47.7,25.0,4.7,,,,,534.0,
,,,,Egg,,8.5,58.8,26.2,,,,,355.0,
,,,,Egg,,7.8,63.5,11.3,,,,,683.0,
,,,,Fish,,38.6,8.8,0.0,,,,,177.0,
,,,,Banana,,11.8,43.3,5.1,,,,,674.0,
,,,,Egg,,5.9,66.7,37.3,,,,,322.0,
,,,,Vegetables,,10.0,71.3,34.7,,,,,491.0,
,,,,Rice,,55.4,65.6,9.3,,,,,552.0,
,,,,Egg,,49.3,35.5,31.1,,,,,179.0,
,,,,Paneer,,21.2,13.9,24.3,,,,,181.0,
,,,,Banana,,39.3,45.6,38.8,,,,,646.0,
,,,,Vegetables,,32.2,17.2,14.9,,,,,531.0,
,,,,Chicken,,40.6,95.0,27.3,,,,,439.0,
,,,,Oats,,41.0,50.1,2.5,,,,,642.0,
,,,,Chicken,,37.7,35.1,15.8,,,,,374.0,
,,,,Apple,,16.0,77.8,38.6,,,,,118.0,
,,,,Oats,,2.3,52.3,21.6,,,,,497.0,
,,,,Apple,,27.3,34.5,11.5,,,,,577.0,
,,,,Oats,,53.5,82.1,4.8,,,,,666.0,
,,,,Oats,,34.2,87.4,28.1,,,,,214.0,
,,,,Rice,,49.9,68.9,25.8,,,,,537.0,
,,,,Milk,,59.5,9.5,15.0,,,,,475.0,
,,,,Paneer,,9.8,58.8,38.0,,,,,314.0,
,,,,Chicken,,41.5,77.5,0.9,,,,,661.0,
,,,,Egg,,40.5,18.0,12.1,,,,,391.0,
,,,,Vegetables,,58.8,26.7,36.8,,,,,327.0,
,,,,Banana,,59.1,88.8,12.8,,,,,488.0,
,,,,Paneer,,41.2,6.9,10.1,,,,,206.0,
,,,,Apple,,14.6,76.5,21.4,,,,,471.0,
,,,,Rice,,47.9,50.0,33.0,,,,,300.0,
,,,,Apple,,6.4,47.4,4.1,,,,,658.0,
,,,,Milk,,46.8,5.7,37.7,,,,,579.0,
,,,,Banana,,54.6,82.8,31.8,,,,,376.0,
,,,,Rice,,23.0,39.2,7.3,,,,,146.0,
,,,,Apple,,37.8,56.4,28.5,,,,,562.0,
,,,,Milk,,25.8,69.3,15.4,,,,,265.0,
,,,,Vegetables,,26.3,71.7,16.1,,,,,181.0,
,,,,Vegetables,,18.6,95.8,31.3,,,,,309.0,
,,,,Apple,,45.7,55.5,38.5,,,,,174.0,
,,,,Paneer,,56.2,43.0,5.1,,,,,131.0,
,,,,Banana,,56.4,95.6,16.8,,,,,332.0,
,,,,Fish,,10.5,66.0,19.2,,,,,108.0,
,,,,Paneer,,52.5,33.3,15.1,,,,,593.0,
,,,,Vegetables,,44.2,17.0,14.5,,,,,210.0,
,,,,Banana,,15.2,85.0,2.1,,,,,333.0,
,,,,Milk,,4.0,39.4,27.4,,,,,155.0,
,,,,Rice,,16.1,67.7,17.4,,,,,154.0,
,,,,Oats,,54.7,49.7,7.8,,,,,488.0,
,,,,Apple,,38.0,23.9,32.6,,,,,277.0,
,,,,Chicken,,43.3,62.2,32.1,,,,,631.0,
,,,,Banana,,15.4,10.8,19.5,,,,,367.0,
,,,,Egg,,43.2,44.3,11.9,,,,,513.0,
,,,,Milk,,1.7,56.9,25.5,,,,,648.0,
,,,,Fish,,22.5,46.4,11.5,,,,,521.0,
,,,,Oats,,37.6,76.1,9.4,,,,,105.0,
,,,,Egg,,8.8,83.7,29.2,,,,,674.0,
,,,,Fish,,49.4,78.3,1.6,,,,,62.0,
,,,,Chicken,,14.1,8.7,3.8,,,,,489.0,
,,,,Vegetables,,39.1,23.4,0.3,,,,,67.0,
,,,,Paneer,,24.3,56.0,6.1,,,,,162.0,
,,,,Apple,,35.8,93.8,2.8,,,,,278.0,
,,,,Rice,,6.4,84.3,39.8,,,,,220.0,
,,,,Fish,,1.0,85.0,11.6,,,,,344.0,
,,,,Oats,,54.6,33.8,6.0,,,,,238.0,
,,,,Banana,,16.2,45.8,9.6,,,,,475.0,
,,,,Vegetables,,49.2,49.7,37.4,,,,,128.0,
,,,,Banana,,60.0,20.0,20.8,,,,,231.0,
,,,,Oats,,12.7,8.0,14.6,,,,,548.0,
,,,,Banana,,15.9,95.0,34.9,,,,,120.0,
,,,,Fish,,39.8,27.9,15.8,,,,,297.0,
,,,,Milk,,57.9,27.8,13.4,,,,,195.0,
,,,,Banana,,54.9,12.9,8.3,,,,,667.0,
,,,,Paneer,,30.2,93.2,15.1,,,,,345.0,
,,,,Chicken,,47.7,60.1,12.7,,,,,631.0,
,,,,Rice,,8.1,68.4,27.1,,,,,519.0,
,,,,Fish,,58.6,91.6,11.6,,,,,555.0,
,,,,Egg,,57.9,37.8,23.1,,,,,242.0,
,,,,Oats,,9.8,64.0,2.6,,,,,117.0,
,,,,Vegetables,,18.0,8.7,7.7,,,,,543.0,
,,,,Fish,,6.0,22.7,16.3,,,,,101.0,
,,,,Milk,,16.3,84.0,37.5,,,,,412.0,
,,,,Vegetables,,49.0,77.8,15.1,,,,,523.0,
,,,,Paneer,,22.7,38.3,26.6,,,,,570.0,
,,,,Oats,,5.3,40.8,10.2,,,,,480.0,
,,,,Vegetables,,20.5,55.7,5.1,,,,,347.0,
,,,,Banana,,58.9,5.0,2.3,,,,,484.0,
,,,,Fish,,37.8,27.9,12.2,,,,,247.0,
,,,,Chicken,,25.0,24.8,6.3,,,,,177.0,
,,,,Oats,,10.0,28.8,7.0,,,,,581.0,
,,,,Apple,,59.2,81.6,30.4,,,,,460.0,
,,,,Paneer,,49.3,31.6,0.6,,,,,114.0,
,,,,Rice,,16.9,23.2,22.3,,,,,290.0,
,,,,Oats,,4.2,52.9,15.2,,,,,418.0,
,,,,Milk,,3.4,87.2,20.3,,,,,585.0,
,,,,Fish,,7.2,27.9,22.5,,,,,433.0,
,,,,Banana,,34.8,12.5,12.5,,,,,480.0,
,,,,Rice,,55.7,38.9,11.8,,,,,132.0,
,,,,Rice,,29.8,76.0,29.3,,,,,660.0,
,,,,Paneer,,50.6,57.3,34.9,,,,,623.0,
,,,,Vegetables,,26.8,82.6,7.7,,,,,335.0,
,,,,Milk,,42.5,96.2,3.9,,,,,583.0,
,,,,Vegetables,,43.9,80.3,35.9,,,,,508.0,
,,,,Banana,,10.4,62.4,14.0,,,,,261.0,
,,,,Rice,,21.7,51.9,22.1,,,,,175.0,
,,,,Milk,,38.2,8.8,14.4,,,,,462.0,
,,,,Milk,,4.2,98.5,5.0,,,,,548.0,
,,,,Egg,,21.7,41.4,23.6,,,,,474.0,
,,,,Fish,,32.1,19.5,21.0,,,,,603.0,
,,,,Rice,,59.8,68.3,8.1,,,,,659.0,
,,,,Rice,,28.5,32.0,18.1,,,,,592.0,
,,,,Milk,,49.0,60.6,31.9,,,,,207.0,
,,,,Vegetables,,25.9,60.7,23.6,,,,,161.0,
,,,,Rice,,47.8,47.3,3.9,,,,,451.0,
,,,,Milk,,35.7,84.4,21.9,,,,,171.0,
,,,,Rice,,53.2,30.2,28.1,,,,,322.0,
,,,,Milk,,24.7,47.6,31.7,,,,,343.0,
,,,,Egg,,36.3,56.1,25.2,,,,,447.0,
,,,,Fish,,37.8,68.0,6.1,,,,,520.0,
,,,,Milk,,25.0,79.5,28.4,,,,,256.0,
,,,,Rice,,8.7,42.5,27.1,,,,,159.0,
,,,,Banana,,5.6,66.4,1.0,,,,,489.0,
,,,,Fish,,1.0,19.3,16.5,,,,,327.0,
,,,,Egg,,52.4,93.6,13.3,,,,,617.0,
,,,,Milk,,14.2,41.4,26.8,,,,,618.0,
,,,,Banana,,12.7,74.3,8.6,,,,,531.0,
,,,,Milk,,44.2,6.9,23.6,,,,,163.0,
,,,,Vegetables,,19.2,24.5,36.5,,,,,526.0,
,,,,Rice,,30.4,51.3,31.9,,,,,370.0,
,,,,Oats,,9.8,88.4,36.9,,,,,228.0,
,,,,Paneer,,57.6,55.1,39.1,,,,,268.0,
,,,,Chicken,,51.1,93.3,0.4,,,,,577.0,
,,,,Vegetables,,51.8,51.0,24.9,,,,,541.0,
,,,,Banana,,24.4,51.6,16.5,,,,,110.0,
,,,,Vegetables,,45.7,16.4,34.4,,,,,103.0,
,,,,Apple,,8.6,81.3,10.1,,,,,587.0,
,,,,Milk,,0.5,28.5,39.2,,,,,114.0,
,,,,Milk,,1.2,90.5,24.5,,,,,661.0,
,,,,Chicken,,35.2,91.5,31.7,,,,,635.0,
,,,,Chicken,,27.3,94.6,3.4,,,,,220.0,
,,,,Apple,,31.1,54.4,7.3,,,,,322.0,
,,,,Rice,,0.4,69.3,30.3,,,,,584.0,
,,,,Paneer,,25.4,79.0,0.9,,,,,440.0,
,,,,Oats,,43.1,17.4,32.7,,,,,376.0,
,,,,Oats,,26.6,62.1,0.6,,,,,157.0,
,,,,Egg,,43.9,8.3,26.3,,,,,211.0,
,,,,Egg,,14.0,52.3,14.6,,,,,501.0,
,,,,Rice,,48.8,19.7,24.5,,,,,255.0,
,,,,Egg,,35.3,22.4,27.8,,,,,639.0,
,,,,Egg,,12.6,39.7,13.7,,,,,65.0,
,,,,Apple,,14.2,46.1,4.3,,,,,376.0,
,,,,Apple,,37.7,64.2,2.8,,,,,657.0,
,,,,Egg,,49.8,12.1,23.6,,,,,51.0,
,,,,Vegetables,,24.9,52.9,20.8,,,,,59.0,
,,,,Fish,,15.5,22.3,29.7,,,,,483.0,
,,,,Fish,,52.0,59.5,20.4,,,,,174.0,
,,,,Rice,,40.2,65.6,16.9,,,,,130.0,
,,,,Oats,,26.9,57.9,15.9,,,,,534.0,
,,,,Chicken,,29.3,75.1,1.1,,,,,199.0,
,,,,Rice,,12.3,36.9,13.4,,,,,389.0,
,,,,Egg,,37.6,77.7,39.0,,,,,178.0,
,,,,Apple,,21.5,46.1,34.9,,,,,487.0,
,,,,Milk,,59.7,51.0,13.2,,,,,550.0,
,,,,Vegetables,,28.8,66.6,23.5,,,,,107.0,
,,,,Banana,,29.2,6.7,33.9,,,,,247.0,
,,,,Apple,,34.0,67.1,17.7,,,,,260.0,
,,,,Fish,,55.0,63.8,0.7,,,,,94.0,
,,,,Apple,,48.0,34.4,3.0,,,,,146.0,
,,,,Vegetables,,27.1,13.2,20.4,,,,,328.0,
,,,,Chicken,,43.1,13.6,38.8,,,,,584.0,
,,,,Egg,,35.2,92.7,27.7,,,,,459.0,
,,,,Milk,,29.5,70.5,2.8,,,,,510.0,
,,,,Fish,,11.5,17.1,7.6,,,,,440.0,
,,,,Fish,,27.8,38.9,30.9,,,,,93.0,
,,,,Paneer,,14.7,61.3,33.7,,,,,76.0,
,,,,Oats,,54.9,84.4,24.7,,,,,146.0,
,,,,Chicken,,20.1,9.1,25.8,,,,,597.0,
,,,,Fish,,57.1,27.5,1.1,,,,,670.0,
,,,,Oats,,32.0,89.5,33.1,,,,,616.0,
,,,,Fish,,37.9,5.9,31.5,,,,,268.0,
,,,,Egg,,32.6,24.1,10.4,,,,,234.0,
,,,,Oats,,7.8,96.1,28.3,,,,,118.0,
,,,,Vegetables,,22.5,63.3,8.6,,,,,179.0,
,,,,Paneer,,5.9,29.9,1.6,,,,,616.0,
,,,,Egg,,37.4,11.4,8.0,,,,,658.0,
,,,,Vegetables,,26.8,7.7,7.1,,,,,648.0,
,,,,Milk,,46.7,28.3,13.5,,,,,680.0,
,,,,Chicken,,13.2,88.7,16.7,,,,,383.0,
,,,,Chicken,,9.9,44.5,20.3,,,,,203.0,
,,,,Banana,,24.4,73.4,19.1,,,,,596.0,
,,,,Banana,,55.6,92.2,10.8,,,,,128.0,
,,,,Oats,,42.6,43.8,1.2,,,,,628.0,
,,,,Chicken,,25.1,23.2,24.2,,,,,462.0,
,,,,Oats,,31.0,54.1,15.8,,,,,595.0,
,,,,Banana,,5.1,91.3,11.9,,,,,658.0,
,,,,Milk,,59.1,81.4,34.7,,,,,218.0,
,,,,Fish,,40.0,11.3,29.9,,,,,632.0,
,,,,Vegetables,,17.1,70.8,34.3,,,,,564.0,
,,,,Apple,,35.1,59.3,19.8,,,,,363.0,
,,,,Oats,,6.6,91.2,5.2,,,,,81.0,
,,,,Milk,,58.0,16.6,27.8,,,,,336.0,
,,,,Vegetables,,10.5,55.7,8.2,,,,,643.0,
,,,,Chicken,,38.9,88.5,17.6,,,,,92.0,
,,,,Fish,,14.7,44.0,2.6,,,,,666.0,
,,,,Vegetables,,43.1,50.8,33.0,,,,,50.0,
,,,,Paneer,,46.6,11.7,5.0,,,,,622.0,
,,,,Banana,,40.4,31.4,36.1,,,,,319.0,
,,,,Vegetables,,36.9,35.8,34.6,,,,,229.0,
,,,,Apple,,53.5,94.8,18.6,,,,,567.0,
,,,,Milk,,4.7,31.9,29.8,,,,,152.0,
,,,,Fish,,19.9,48.8,24.8,,,,,59.0,
,,,,Egg,,14.9,68.8,32.1,,,,,632.0,
,,,,Vegetables,,59.3,20.4,17.3,,,,,139.0,
,,,,Rice,,23.4,51.2,31.4,,,,,275.0,
,,,,Apple,,44.0,75.2,18.5,,,,,175.0,
,,,,Apple,,41.1,87.4,37.6,,,,,258.0,
,,,,Rice,,12.7,64.5,19.5,,,,,146.0,
,,,,Paneer,,14.3,68.6,18.5,,,,,123.0,
,,,,Egg,,16.9,17.0,31.4,,,,,676.0,
,,,,Banana,,24.7,94.8,32.9,,,,,240.0,
,,,,Milk,,14.1,17.6,22.2,,,,,105.0,
,,,,Fish,,1.2,78.6,7.2,,,,,602.0,
,,,,Milk,,52.8,30.2,18.7,,,,,81.0,
,,,,Egg,,57.9,93.7,38.7,,,,,576.0,
,,,,Milk,,20.5,73.4,30.1,,,,,623.0,
,,,,Rice,,20.3,76.6,32.4,,,,,333.0,
,,,,Apple,,0.4,25.8,1.3,,,,,543.0,
,,,,Milk,,40.8,47.1,18.7,,,,,236.0,
,,,,Oats,,49.5,63.7,25.9,,,,,547.0,
,,,,Vegetables,,8.8,78.1,33.2,,,,,491.0,
,,,,Egg,,9.6,14.9,2.0,,,,,179.0,
,,,,Paneer,,47.4,96.4,34.1,,,,,688.0,
,,,,Oats,,37.0,89.6,21.9,,,,,341.0,
,,,,Rice,,2.7,30.7,7.9,,,,,163.0,
,,,,Chicken,,37.4,83.2,12.7,,,,,248.0,
,,,,Rice,,18.5,54.2,11.3,,,,,62.0,
,,,,Paneer,,22.1,48.9,21.2,,,,,320.0,
,,,,Paneer,,46.2,34.9,2.1,,,,,650.0,
,,,,Oats,,48.7,60.2,6.3,,,,,264.0,
,,,,Vegetables,,24.0,74.3,32.5,,,,,493.0,
,,,,Egg,,56.8,44.0,5.3,,,,,561.0,
,,,,Banana,,24.4,64.8,9.3,,,,,496.0,
,,,,Apple,,46.3,71.4,18.1,,,,,123.0,
,,,,Oats,,29.0,72.6,20.7,,,,,586.0,
,,,,Paneer,,53.9,9.9,30.5,,,,,150.0,
,,,,Chicken,,54.5,86.7,17.9,,,,,225.0,
,,,,Fish,,5.2,48.5,31.6,,,,,476.0,
,,,,Paneer,,56.2,29.9,24.7,,,,,166.0,
,,,,Vegetables,,49.5,28.0,4.5,,,,,215.0,
,,,,Vegetables,,47.5,50.9,6.3,,,,,90.0,
,,,,Paneer,,12.1,89.2,17.5,,,,,478.0,
,,,,Vegetables,,48.3,40.9,15.9,,,,,393.0,
,,,,Oats,,51.0,76.2,29.7,,,,,473.0,
,,,,Paneer,,17.3,14.2,23.2,,,,,415.0,
,,,,Paneer,,57.1,50.2,15.5,,,,,169.0,
,,,,Egg,,3.0,99.2,6.8,,,,,658.0,
,,,,Apple,,9.0,78.2,9.1,,,,,278.0,
,,,,Chicken,,32.3,25.0,23.0,,,,,179.0,
,,,,Vegetables,,34.5,52.6,16.9,,,,,401.0,
,,,,Egg,,38.7,27.2,20.6,,,,,367.0,
,,,,Banana,,1.0,43.9,6.8,,,,,698.0,
,,,,Banana,,57.6,79.1,26.5,,,,,386.0,
,,,,Milk,,2.7,78.3,34.1,,,,,322.0,
,,,,Oats,,8.6,26.7,10.3,,,,,166.0,
,,,,Oats,,0.8,92.6,19.7,,,,,417.0,
,,,,Rice,,34.0,61.3,39.0,,,,,143.0,
,,,,Chicken,,55.9,41.1,13.3,,,,,217.0,
,,,,Paneer,,40.0,52.7,23.8,,,,,390.0,
,,,,Vegetables,,49.4,62.5,3.6,,,,,201.0,
,,,,Chicken,,0.8,58.2,24.2,,,,,635.0,
,,,,Milk,,32.5,51.2,3.6,,,,,323.0,
,,,,Rice,,27.6,53.0,38.4,,,,,603.0,
,,,,Egg,,29.9,21.8,28.6,,,,,545.0,
,,,,Chicken,,4.3,82.2,31.5,,,,,150.0,
,,,,Egg,,41.1,56.5,28.2,,,,,606.0,
,,,,Banana,,30.2,17.5,23.6,,,,,131.0,
,,,,Vegetables,,45.9,77.8,18.0,,,,,578.0,
,,,,Milk,,29.1,93.6,34.3,,,,,122.0,
,,,,Paneer,,9.0,95.0,38.3,,,,,63.0,
,,,,Vegetables,,38.9,40.1,20.0,,,,,482.0,
,,,,Apple,,10.3,17.9,37.3,,,,,206.0,
,,,,Oats,,52.3,54.2,23.3,,,,,181.0,
,,,,Milk,,36.8,15.7,21.5,,,,,387.0,
,,,,Chicken,,9.4,93.7,18.2,,,,,453.0,
,,,,Vegetables,,57.7,22.4,8.4,,,,,425.0,
,,,,Fish,,31.1,29.0,0.1,,,,,608.0,
,,,,Oats,,4.4,43.6,9.7,,,,,156.0,
,,,,Oats,,37.6,41.4,20.4,,,,,669.0,
,,,,Fish,,15.2,80.5,15.2,,,,,314.0,
,,,,Rice,,48.2,48.4,17.9,,,,,254.0,
,,,,Rice,,49.1,21.2,39.2,,,,,128.0,
,,,,Fish,,58.7,30.4,14.0,,,,,204.0,
,,,,Apple,,30.1,53.4,18.1,,,,,296.0,
,,,,Banana,,27.3,19.0,5.3,,,,,580.0,
,,,,Fish,,45.2,63.1,1.9,,,,,587.0,
,,,,Banana,,7.9,58.7,31.0,,,,,203.0,
,,,,Vegetables,,32.8,72.9,22.8,,,,,203.0,
,,,,Apple,,32.8,94.1,30.4,,,,,141.0,
,,,,Milk,,5.4,91.7,6.0,,,,,482.0,
,,,,Banana,,25.1,94.9,22.9,,,,,387.0,
,,,,Oats,,51.2,28.2,10.1,,,,,529.0,
,,,,Vegetables,,51.4,17.5,9.1,,,,,180.0,
,,,,Oats,,6.0,33.7,0.5,,,,,499.0,
,,,,Apple,,5.4,90.0,5.2,,,,,322.0,
,,,,Banana,,15.8,97.3,12.4,,,,,637.0,
,,,,Egg,,52.5,86.6,4.7,,,,,226.0,
,,,,Apple,,7.7,15.5,39.4,,,,,692.0,
,,,,Apple,,43.2,95.0,12.3,,,,,98.0,
,,,,Egg,,6.1,45.2,5.2,,,,,616.0,
,,,,Vegetables,,37.4,5.9,8.0,,,,,404.0,
,,,,Banana,,21.4,47.0,23.5,,,,,357.0,
,,,,Banana,,47.3,9.4,2.6,,,,,679.0,
,,,,Oats,,14.0,56.7,34.5,,,,,95.0,
,,,,Apple,,38.4,37.2,38.5,,,,,351.0,
,,,,Apple,,14.1,50.0,9.9,,,,,457.0,
,,,,Paneer,,42.8,63.3,18.0,,,,,238.0,
,,,,Milk,,52.4,87.5,0.9,,,,,178.0,
,,,,Apple,,7.6,67.9,25.6,,,,,610.0,
,,,,Chicken,,52.0,46.2,16.6,,,,,586.0,
,,,,Milk,,35.6,82.8,10.8,,,,,315.0,
,,,,Chicken,,7.6,91.0,8.3,,,,,167.0,
,,,,Banana,,25.7,16.4,26.2,,,,,513.0,
,,,,Milk,,9.7,55.5,16.6,,,,,193.0,
,,,,Apple,,42.0,32.0,7.2,,,,,491.0,
,,,,Egg,,45.5,9.5,27.6,,,,,249.0,
,,,,Oats,,6.3,68.5,22.6,,,,,206.0,
,,,,Chicken,,30.4,87.0,34.3,,,,,536.0,
,,,,Milk,,48.9,20.5,4.7,,,,,183.0,
,,,,Apple,,56.2,82.2,31.4,,,,,197.0,
,,,,Milk,,30.8,86.1,26.9,,,,,385.0,
,,,,Apple,,57.0,91.9,4.6,,,,,120.0,
,,,,Apple,,32.1,30.2,27.8,,,,,282.0,
,,,,Apple,,23.7,90.9,17.7,,,,,383.0,
,,,,Paneer,,50.9,35.5,37.8,,,,,139.0,
,,,,Oats,,29.6,57.5,5.7,,,,,383.0,
,,,,Egg,,28.3,9.8,25.7,,,,,248.0,
,,,,Egg,,29.4,9.2,15.3,,,,,210.0,
,,,,Milk,,50.8,73.4,38.3,,,,,587.0,
,,,,Milk,,49.9,47.2,13.2,,,,,170.0,
,,,,Apple,,24.2,29.3,38.5,,,,,350.0,
,,,,Paneer,,20.0,23.1,36.1,,,,,624.0,
,,,,Apple,,29.5,68.6,10.8,,,,,485.0,
,,,,Paneer,,34.4,5.0,32.1,,,,,117.0,
,,,,Apple,,14.3,81.6,39.8,,,,,508.0,
,,,,Chicken,,47.6,12.5,10.1,,,,,563.0,
,,,,Chicken,,29.2,23.2,17.5,,,,,447.0,
,,,,Banana,,20.0,41.7,20.8,,,,,669.0,
,,,,Apple,,6.4,51.1,11.8,,,,,335.0,
,,,,Oats,,14.3,38.7,0.6,,,,,610.0,
,,,,Banana,,57.0,35.5,8.8,,,,,189.0,
,,,,Milk,,18.3,96.6,11.3,,,,,605.0,
,,,,Vegetables,,10.1,66.0,17.7,,,,,639.0,
,,,,Apple,,27.6,7.2,6.8,,,,,659.0,
,,,,Chicken,,18.4,45.9,34.9,,,,,331.0,
,,,,Vegetables,,2.1,88.1,28.2,,,,,627.0,
,,,,Paneer,,19.4,33.6,3.4,,,,,506.0,
,,,,Vegetables,,32.6,14.0,26.0,,,,,136.0,
,,,,Oats,,33.1,77.0,26.1,,,,,128.0,
,,,,Apple,,21.4,62.6,38.2,,,,,254.0,
,,,,Egg,,26.8,59.2,0.1,,,,,386.0,
,,,,Vegetables,,57.9,10.1,9.9,,,,,303.0,
,,,,Egg,,22.6,18.3,37.1,,,,,353.0,
,,,,Paneer,,15.5,64.1,37.3,,,,,429.0,
,,,,Banana,,14.6,24.7,28.8,,,,,179.0,
,,,,Egg,,27.5,52.9,30.6,,,,,645.0,
,,,,Banana,,45.6,56.8,3.7,,,,,325.0,
,,,,Chicken,,12.4,31.9,20.6,,,,,607.0,
,,,,Apple,,42.6,95.1,9.3,,,,,232.0,
,,,,Vegetables,,1.3,85.0,7.2,,,,,317.0,
,,,,Chicken,,25.1,73.6,32.4,,,,,371.0,
,,,,Chicken,,46.6,12.4,5.4,,,,,561.0,
,,,,Fish,,20.3,15.1,18.7,,,,,661.0,
,,,,Rice,,33.8,51.8,37.5,,,,,127.0,
,,,,Oats,,12.3,20.3,7.4,,,,,388.0,
,,,,Banana,,44.5,97.9,39.1,,,,,605.0,
,,,,Fish,,3.1,20.1,39.8,,,,,558.0,
,,,,Rice,,51.2,51.3,22.2,,,,,287.0,
,,,,Oats,,11.9,39.6,6.8,,,,,183.0,
,,,,Banana,,52.5,65.7,12.6,,,,,241.0,
,,,,Apple,,21.2,17.3,17.0,,,,,405.0,
,,,,Oats,,43.4,45.9,12.4,,,,,327.0,
